Timestamp,Username,IP Address,Service Name,Operation,Resource,Allowed,Impersonator,Family,Qualifier,Delegation Token ID,Destination,Permissions,Source,Usage Type,Operation Text,url,Privilege,Query ID,Session ID,Status,Database Name,Object Type,Resource Path,Table Name
2019-11-21T22:18:03.587Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00216,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00216,,,,,,,,,,,
2019-11-21T22:18:03.586Z,user_fyf,10.67.59.24,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00013,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00013,,,,,,,,,,,
2019-11-21T22:18:03.563Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00307,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00307,,,,,,,,,,,
2019-11-21T22:18:03.559Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00307,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00307,,,,,,,,,,,
2019-11-21T22:18:03.556Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00110,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00110,,,,,,,,,,,
2019-11-21T22:18:03.546Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00110,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00110,,,,,,,,,,,
2019-11-21T22:18:03.540Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00659,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00659,,,,,,,,,,,
2019-11-21T22:18:03.533Z,user_fyf,10.67.59.18,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-01002,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-01002,,,,,,,,,,,
2019-11-21T22:18:03.532Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00659,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00659,,,,,,,,,,,
2019-11-21T22:18:03.519Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00695,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00695,,,,,,,,,,,
2019-11-21T22:18:03.510Z,user_fyf,10.67.59.18,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-01002,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-01002,,,,,,,,,,,
2019-11-21T22:18:03.501Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00695,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00695,,,,,,,,,,,
2019-11-21T22:18:03.489Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00337,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00337,,,,,,,,,,,
2019-11-21T22:18:03.478Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00337,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00337,,,,,,,,,,,
2019-11-21T22:18:03.478Z,user_fyf,10.67.59.17,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00938,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00938,,,,,,,,,,,
2019-11-21T22:18:03.462Z,nagios,10.67.59.27,,,,true,,,,,,,,,,,,,,,,,,
2019-11-21T22:18:03.442Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00240,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00240,,,,,,,,,,,
2019-11-21T22:18:03.441Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00240,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00240,,,,,,,,,,,
